Block,Plot,BlockPlot,Code,Treatment,Year,Nativecover,SQRTNativecover,NativecoverNOcnt2122,SQRTNativecoverNOcnt2122,nativeforbcover,nativegrasscover,nativeperennialcover,SQRTnativeperennialcover,nativetreecover,nativeshrubcover,nativecactuscover,nativeperennialforbcover,nativeperennialgrasscover,nativeannualcover,SQRTnativeannualcover,nativeannualforbcover,nativeannualgrasscover,nonnativecover,NNcovernoPECI,SQRTNNcovernoPECI,PECICover,SQRTPECIcover,Log1PECICover,PESE3Cover,ONPICover,BRTOCover,TotalStandingdead,NativeStandingdead,NonnativeSTANDINGDEAD,PennisetumStandingDead,PECIStandingdead,SQRTPECIStandingdead
1,4,1-4,CH,Cut and herbicide,2018,23,4.795831523,23,4.795831523,6,2,23,4.795831523,0,15,0,6,2,0,0,0,0,54,0,0,54,7.348469228,4.007333185,0,0,0,0,0,0,0,0,0
2,6,2-6,CH,Cut and herbicide,2018,30,5.477225575,30,5.477225575,2,1,28,5.291502622,0,27,0,0,1,2,1.414213562,2,0,56,7,2.645751311,49,7,3.912023005,0,0,0,2,2,0,0,0,0
3,6,3-6,CH,Cut and herbicide,2018,38,6.164414003,38,6.164414003,0,0,38,6.164414003,0,38,0,0,0,0,0,0,0,37,0,0,37,6.08276253,3.63758616,0,0,0,3,3,0,0,0,0
4,4,4-4,CH,Cut and herbicide,2018,39,6.244997998,39,6.244997998,0,0,39,6.244997998,9,30,0,0,0,0,0,0,0,65,0,0,65,8.062257748,4.189654742,0,0,0,0,0,0,0,0,0
2,4,2-4,CNT,Invaded control,2018,25,5,25,5,3,0,25,5,0,22,0,3,0,0,0,0,0,65,5,2.236067977,60,7.745966692,4.110873864,0,0,0,0,0,0,0,0,0
3,5,3-5,CNT,Invaded control,2018,35,5.916079783,35,5.916079783,0,0,35,5.916079783,0,35,0,0,0,0,0,0,0,55,0,0,55,7.416198487,4.025351691,0,0,0,0,0,0,0,0,0
4,7,4-7,CNT,Invaded control,2018,28,5.291502622,28,5.291502622,0,1,27,5.196152423,0,27,0,0,0,0,0,0,0,69,0,0,69,8.306623863,4.248495242,0,0,0,4,3,0,0,0,0
1,5,1-5,H1x,Herbicide 1x,2018,52,7.211102551,52,7.211102551,14,4,42,6.480740698,0,34,0,4,4,10,3.16227766,10,0,42,15,3.872983346,27,5.196152423,3.33220451,5,0,0,1,1,0,0,0,0
2,3,2-3,H1x,Herbicide 1x,2018,33,5.744562647,33,5.744562647,0,1,32,5.656854249,0,32,0,0,0,1,1,0,1,47,14,3.741657387,33,5.744562647,3.526360525,0,0,0,0,0,0,0,0,0
3,4,3-4,H1x,Herbicide 1x,2018,21,4.582575695,21,4.582575695,0,0,21,4.582575695,0,21,0,0,0,0,0,0,0,67,0,0,67,8.185352772,4.219507705,0,0,0,0,0,0,0,0,0
4,6,4-6,H1x,Herbicide 1x,2018,13,3.605551275,13,3.605551275,5,0,12,3.464101615,0,7,1,4,0,1,1,1,0,66,0,0,66,8.124038405,4.204692619,0,0,0,0,0,0,0,0,0
1,2,1-2,H1x1x,Herbicide 2x,2018,29,5.385164807,29,5.385164807,7,1,24,4.898979486,0,21,0,3,0,5,2.236067977,4,1,88,37,6.08276253,51,7.141428429,3.951243719,0,0,0,1,0,0,0,0,0
2,5,2-5,H1x1x,Herbicide 2x,2018,36,6,36,6,7,4,33,5.744562647,0,25,0,4,4,3,1.732050808,3,0,51,7,2.645751311,44,6.633249581,3.80666249,0,0,0,0,0,0,0,0,0
3,2,3-2,H1x1x,Herbicide 2x,2018,43,6.557438524,43,6.557438524,6,3,43,6.557438524,0,34,0,6,3,0,0,0,0,38,2,1.414213562,36,6,3.610917913,0,0,0,0,0,0,0,0,0
4,8,4-8,H1x1x,Herbicide 2x,2018,11,3.31662479,11,3.31662479,2,0,11,3.31662479,0,9,0,2,0,0,0,0,0,78,0,0,78,8.831760866,4.369447852,0,0,0,1,1,0,0,0,0
1,7,1-7,H2x1x,Herbicide 3x,2018,56,7.483314774,56,7.483314774,4,8,52,7.211102551,0,44,0,1,7,4,2,3,1,47,18,4.242640687,29,5.385164807,3.401197382,0,0,0,1,0,0,0,0,0
2,7,2-7,H2x1x,Herbicide 3x,2018,6,2.449489743,6,2.449489743,1,0,5,2.236067977,0,5,0,0,0,1,1,1,0,61,18,4.242640687,43,6.557438524,3.784189634,0,0,0,0,0,0,0,0,0
3,8,3-8,H2x1x,Herbicide 3x,2018,43,6.557438524,43,6.557438524,0,0,43,6.557438524,13,30,0,0,0,0,0,0,0,40,0,0,40,6.32455532,3.713572067,0,0,0,0,0,0,0,0,0
4,5,4-5,H2x1x,Herbicide 3x,2018,28,5.291502622,28,5.291502622,0,2,28,5.291502622,5,20,1,0,2,0,0,0,0,52,0,0,52,7.211102551,3.970291914,0,0,0,0,0,0,0,0,0
1,3,1-3,P,Manual removal,2018,32,5.656854249,32,5.656854249,6,0,28,5.291502622,1,25,0,2,0,4,2,4,0,67,14,3.741657387,53,7.280109889,3.988984047,0,0,0,0,0,0,0,0,0
2,8,2-8,P,Manual removal,2018,33,5.744562647,33,5.744562647,0,1,33,5.744562647,12,20,0,0,1,0,0,0,0,35,3,1.732050808,32,5.656854249,3.496507561,0,0,0,1,1,0,0,0,0
3,7,3-7,P,Manual removal,2018,43,6.557438524,43,6.557438524,0,0,43,6.557438524,0,43,0,0,0,0,0,0,0,27,0,0,27,5.196152423,3.33220451,0,0,0,3,0,0,0,0,0
4,2,4-2,P,Manual removal,2018,17,4.123105626,17,4.123105626,0,0,17,4.123105626,0,17,0,0,0,0,0,0,0,70,0,0,70,8.366600265,4.262679877,0,0,0,1,1,0,0,0,0
1,1,1-1,PH,Manual removal and herbicide,2018,20,4.472135955,20,4.472135955,4,0,20,4.472135955,0,16,0,4,0,0,0,0,0,50,30,5.477225575,20,4.472135955,3.044522438,0,0,0,0,0,0,0,0,0
2,2,2-2,PH,Manual removal and herbicide,2018,30,5.477225575,30,5.477225575,6,2,24,4.898979486,0,22,0,0,2,6,2.449489743,6,0,43,10,3.16227766,33,5.744562647,3.526360525,0,0,0,2,0,0,0,0,0
3,3,3-3,PH,Manual removal and herbicide,2018,25,5,25,5,0,0,25,5,0,25,0,0,0,0,0,0,0,38,0,0,38,6.164414003,3.663561646,0,0,0,0,0,0,0,0,0
4,1,4-1,PH,Manual removal and herbicide,2018,35,5.916079783,35,5.916079783,0,0,35,5.916079783,3,32,0,0,0,0,0,0,0,50,0,0,50,7.071067812,3.931825633,0,0,0,6,6,0,0,0,0
1,6,1-6,CR,UnInvaded control,2018,65,8.062257748,65,8.062257748,6,4,58,7.615773106,0,55,0,2,1,7,2.645751311,4,3,11,11,3.31662479,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2-1,CR,UnInvaded control,2018,41,6.403124237,41,6.403124237,0,1,40,6.32455532,0,40,0,0,0,1,1,0,1,11,11,3.31662479,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3-1,CR,UnInvaded control,2018,99,9.949874371,99,9.949874371,1,0,99,9.949874371,24,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,4-3,CR,UnInvaded control,2018,48,6.92820323,48,6.92820323,2,0,46,6.782329983,3,43,0,0,0,2,1.414213562,2,0,2,0,0,2,1.414213562,1.098612289,0,0,0,0,0,0,0,0,0
