Block,Plot,Treatment,Code,Year,Time
1,1,Pull Herbicide,PH,2018,0.452777778
1,1,Pull Herbicide,PH,2019,0.361375
1,1,Pull Herbicide,PH,2020,0.008077778
1,1,Pull Herbicide,PH,2021,0.001880556
1,1,Pull Herbicide,PH,2022,0.003433333
1,2,Herbicide 1x spring 1x fall,H1x1x,2018,0.262777778
1,2,Herbicide 1x spring 1x fall,H1x1x,2019,0.245613889
1,2,Herbicide 1x spring 1x fall,H1x1x,2020,0
1,2,Herbicide 1x spring 1x fall,H1x1x,2021,0.007791667
1,2,Herbicide 1x spring 1x fall,H1x1x,2022,0.044119444
1,3,Pull,P,2018,0.552222222
1,3,Pull,P,2019,1.615255556
1,3,Pull,P,2020,0.153183333
1,3,Pull,P,2021,0.003452778
1,3,Pull,P,2022,0.113955556
1,4,Cut Herbicide,CH,2018,0.340833333
1,4,Cut Herbicide,CH,2019,0.573611111
1,4,Cut Herbicide,CH,2020,0.026608333
1,4,Cut Herbicide,CH,2021,0
1,4,Cut Herbicide,CH,2022,0.021102778
1,5,Herbicide 1x spring,H1x,2018,0.124444444
1,5,Herbicide 1x spring,H1x,2019,0.049147222
1,5,Herbicide 1x spring,H1x,2020,0.000583333
1,5,Herbicide 1x spring,H1x,2021,0.001191667
1,5,Herbicide 1x spring,H1x,2022,0.000583333
1,6,Control Reference,CR,2018,0
1,6,Control Reference,CR,2019,0
1,6,Control Reference,CR,2020,0
1,6,Control Reference,CR,2021,0.001666667
1,6,Control Reference,CR,2022,0
1,7,Herbicide 2x spring 1x fall,H2x1x,2018,0.231388889
1,7,Herbicide 2x spring 1x fall,H2x1x,2019,0.066247222
1,7,Herbicide 2x spring 1x fall,H2x1x,2020,0
1,7,Herbicide 2x spring 1x fall,H2x1x,2021,0.004877778
1,7,Herbicide 2x spring 1x fall,H2x1x,2022,0.005080556
1,8,Control No Treatment,CNT,2018,0
1,8,Control No Treatment,CNT,2019,0
1,8,Control No Treatment,CNT,2020,0
1,8,Control No Treatment,CNT,2021,0
1,8,Control No Treatment,CNT,2022,0
2,1,Control Reference,CR,2018,0
2,1,Control Reference,CR,2019,0
2,1,Control Reference,CR,2020,0
2,1,Control Reference,CR,2021,0
2,1,Control Reference,CR,2022,0
2,2,Pull Herbicide,PH,2018,0.355833333
2,2,Pull Herbicide,PH,2019,0.205752778
2,2,Pull Herbicide,PH,2020,0.014977778
2,2,Pull Herbicide,PH,2021,0.027669444
2,2,Pull Herbicide,PH,2022,0.023611111
2,3,Herbicide 1x spring,H1x,2018,0.076944444
2,3,Herbicide 1x spring,H1x,2019,0.037797222
2,3,Herbicide 1x spring,H1x,2020,0
2,3,Herbicide 1x spring,H1x,2021,0
2,3,Herbicide 1x spring,H1x,2022,0.017513889
2,4,Control No Treatment,CNT,2018,0
2,4,Control No Treatment,CNT,2019,0
2,4,Control No Treatment,CNT,2020,0
2,4,Control No Treatment,CNT,2021,0
2,4,Control No Treatment,CNT,2022,0
2,5,Herbicide 1x spring 1x fall,H1x1x,2018,0.223055556
2,5,Herbicide 1x spring 1x fall,H1x1x,2019,0.066719444
2,5,Herbicide 1x spring 1x fall,H1x1x,2020,0
2,5,Herbicide 1x spring 1x fall,H1x1x,2021,0.000694444
2,5,Herbicide 1x spring 1x fall,H1x1x,2022,0.004325
2,6,Cut Herbicide,CH,2018,0.157222222
2,6,Cut Herbicide,CH,2019,0.143341667
2,6,Cut Herbicide,CH,2020,0.006608333
2,6,Cut Herbicide,CH,2021,0
2,6,Cut Herbicide,CH,2022,0.000694444
2,7,Herbicide 2x spring 1x fall,H2x1x,2018,0.234444444
2,7,Herbicide 2x spring 1x fall,H2x1x,2019,0.029344444
2,7,Herbicide 2x spring 1x fall,H2x1x,2020,0
2,7,Herbicide 2x spring 1x fall,H2x1x,2021,0.004372222
2,7,Herbicide 2x spring 1x fall,H2x1x,2022,0.001347222
2,8,Pull,P,2018,0.373333333
2,8,Pull,P,2019,1.953583333
2,8,Pull,P,2020,0.120366667
2,8,Pull,P,2021,0.009122222
2,8,Pull,P,2022,0.176116667
3,1,Control Reference,CR,2018,0
3,1,Control Reference,CR,2019,0
3,1,Control Reference,CR,2020,0
3,1,Control Reference,CR,2021,0
3,1,Control Reference,CR,2022,0
3,2,Herbicide 1x spring 1x fall,H1x1x,2018,0.115555556
3,2,Herbicide 1x spring 1x fall,H1x1x,2019,0.044797222
3,2,Herbicide 1x spring 1x fall,H1x1x,2020,0.006891667
3,2,Herbicide 1x spring 1x fall,H1x1x,2021,0
3,2,Herbicide 1x spring 1x fall,H1x1x,2022,0
3,3,Pull Herbicide,PH,2018,0.303888889
3,3,Pull Herbicide,PH,2019,0.36905
3,3,Pull Herbicide,PH,2020,0.092988889
3,3,Pull Herbicide,PH,2021,0.006463889
3,3,Pull Herbicide,PH,2022,0.017472222
3,4,Herbicide 1x spring,H1x,2018,0.065
3,4,Herbicide 1x spring,H1x,2019,0.180286111
3,4,Herbicide 1x spring,H1x,2020,0.025491667
3,4,Herbicide 1x spring,H1x,2021,0
3,4,Herbicide 1x spring,H1x,2022,0.006552778
3,5,Control No Treatment,CNT,2018,0
3,5,Control No Treatment,CNT,2019,0
3,5,Control No Treatment,CNT,2020,0
3,5,Control No Treatment,CNT,2021,0
3,5,Control No Treatment,CNT,2022,0
3,6,Cut Herbicide,CH,2018,0.105
3,6,Cut Herbicide,CH,2019,0.840272222
3,6,Cut Herbicide,CH,2020,0.104975
3,6,Cut Herbicide,CH,2021,0
3,6,Cut Herbicide,CH,2022,0.029194444
3,7,Pull,P,2018,0.266111111
3,7,Pull,P,2019,1.137944444
3,7,Pull,P,2020,0.438688889
3,7,Pull,P,2021,0
3,7,Pull,P,2022,0.167394444
3,8,Herbicide 2x spring 1x fall,H2x1x,2018,0.140277778
3,8,Herbicide 2x spring 1x fall,H2x1x,2019,0.010694444
3,8,Herbicide 2x spring 1x fall,H2x1x,2020,0
3,8,Herbicide 2x spring 1x fall,H2x1x,2021,0.000277778
3,8,Herbicide 2x spring 1x fall,H2x1x,2022,0.006927778
4,1,Pull Herbicide,PH,2018,0.7525
4,1,Pull Herbicide,PH,2019,1.077805556
4,1,Pull Herbicide,PH,2020,0.022072222
4,1,Pull Herbicide,PH,2021,0.016175
4,1,Pull Herbicide,PH,2022,0.067666667
4,2,Pull,P,2018,0.883333333
4,2,Pull,P,2019,3.33925
4,2,Pull,P,2020,0.416905556
4,2,Pull,P,2021,0.013311111
4,2,Pull,P,2022,0.854238889
4,3,Control Reference,CR,2018,0
4,3,Control Reference,CR,2019,0
4,3,Control Reference,CR,2020,0
4,3,Control Reference,CR,2021,0.01
4,3,Control Reference,CR,2022,0
4,4,Cut Herbicide,CH,2018,0.133611111
4,4,Cut Herbicide,CH,2019,0.863308333
4,4,Cut Herbicide,CH,2020,0.040219444
4,4,Cut Herbicide,CH,2021,0
4,4,Cut Herbicide,CH,2022,0.053438889
4,5,Herbicide 2x spring 1x fall,H2x1x,2018,0.245
4,5,Herbicide 2x spring 1x fall,H2x1x,2019,0.054772222
4,5,Herbicide 2x spring 1x fall,H2x1x,2020,0.000386111
4,5,Herbicide 2x spring 1x fall,H2x1x,2021,0.000794444
4,5,Herbicide 2x spring 1x fall,H2x1x,2022,0.001477778
4,6,Herbicide 1x spring,H1x,2018,0.056388889
4,6,Herbicide 1x spring,H1x,2019,0.087911111
4,6,Herbicide 1x spring,H1x,2020,0.037313889
4,6,Herbicide 1x spring,H1x,2021,0.000547222
4,6,Herbicide 1x spring,H1x,2022,0.028655556
4,7,Control No Treatment,CNT,2018,0
4,7,Control No Treatment,CNT,2019,0
4,7,Control No Treatment,CNT,2020,0
4,7,Control No Treatment,CNT,2021,0
4,7,Control No Treatment,CNT,2022,0
4,8,Herbicide 1x spring 1x fall,H1x1x,2018,0.126111111
4,8,Herbicide 1x spring 1x fall,H1x1x,2019,0.109022222
4,8,Herbicide 1x spring 1x fall,H1x1x,2020,0.033491667
4,8,Herbicide 1x spring 1x fall,H1x1x,2021,0.028830556
4,8,Herbicide 1x spring 1x fall,H1x1x,2022,0.019172222
1,8a,Control No Treatment - Herbicide 2x,CNT-H,2018,0
1,8a,Control No Treatment - Herbicide 2x,CNT-H,2019,0
1,8a,Control No Treatment - Herbicide 2x,CNT-H,2020,0.049205556
1,8a,Control No Treatment - Herbicide 2x,CNT-H,2021,0.095663889
1,8a,Control No Treatment - Herbicide 2x,CNT-H,2022,0.109069444
1,8b,Control No Treatment - Pull 2x,CNT-P,2018,0
1,8b,Control No Treatment - Pull 2x,CNT-P,2019,0
1,8b,Control No Treatment - Pull 2x,CNT-P,2020,0.039144444
1,8b,Control No Treatment - Pull 2x,CNT-P,2021,0.086272222
1,8b,Control No Treatment - Pull 2x,CNT-P,2022,0.09515
2,4a,Control No Treatment - Pull 2x,CNT-P,2018,0
2,4a,Control No Treatment - Pull 2x,CNT-P,2019,0
2,4a,Control No Treatment - Pull 2x,CNT-P,2020,0.739211111
2,4a,Control No Treatment - Pull 2x,CNT-P,2021,0.218755556
2,4a,Control No Treatment - Pull 2x,CNT-P,2022,0.053188889
2,4b,Control No Treatment - Herbicide 2x,CNT-H,2018,0
2,4b,Control No Treatment - Herbicide 2x,CNT-H,2019,0
2,4b,Control No Treatment - Herbicide 2x,CNT-H,2020,0.112186111
2,4b,Control No Treatment - Herbicide 2x,CNT-H,2021,0.114805556
2,4b,Control No Treatment - Herbicide 2x,CNT-H,2022,0.082991667
3,5a,Control No Treatment - Herbicide 2x,CNT-H,2018,0
3,5a,Control No Treatment - Herbicide 2x,CNT-H,2019,0
3,5a,Control No Treatment - Herbicide 2x,CNT-H,2020,0.105775
3,5a,Control No Treatment - Herbicide 2x,CNT-H,2021,0.117094444
3,5a,Control No Treatment - Herbicide 2x,CNT-H,2022,0.074991667
3,5b,Control No Treatment - Pull 2x,CNT-P,2018,0
3,5b,Control No Treatment - Pull 2x,CNT-P,2019,0
3,5b,Control No Treatment - Pull 2x,CNT-P,2020,0.2268
3,5b,Control No Treatment - Pull 2x,CNT-P,2021,0.119127778
3,5b,Control No Treatment - Pull 2x,CNT-P,2022,0.009994444
4,7a,Control No Treatment - Herbicide 2x,CNT-H,2018,0
4,7a,Control No Treatment - Herbicide 2x,CNT-H,2019,0
4,7a,Control No Treatment - Herbicide 2x,CNT-H,2020,0.124336111
4,7a,Control No Treatment - Herbicide 2x,CNT-H,2021,0.104305556
4,7a,Control No Treatment - Herbicide 2x,CNT-H,2022,0.05825
4,7b,Control No Treatment - Pull 2x,CNT-P,2018,0
4,7b,Control No Treatment - Pull 2x,CNT-P,2019,0
4,7b,Control No Treatment - Pull 2x,CNT-P,2020,0.785111111
4,7b,Control No Treatment - Pull 2x,CNT-P,2021,1.036672222
4,7b,Control No Treatment - Pull 2x,CNT-P,2022,0.534394444
