Block-Plot,Block,Plot,Treatment,Code,Year,Measured costs
11,1,1,Manual removal and herbicide,PH,2018,8.050534029
11,1,1,Manual removal and herbicide,PH,2019,6.207380192
11,1,1,Manual removal and herbicide,PH,2020,0.135545111
11,1,1,Manual removal and herbicide,PH,2021,0.033469214
11,1,1,Manual removal and herbicide,PH,2022,0.061109333
12,1,2,Herbicide 2x,H1x1x,2018,5.762140433
12,1,2,Herbicide 2x,H1x1x,2019,4.482563202
12,1,2,Herbicide 2x,H1x1x,2020,0
12,1,2,Herbicide 2x,H1x1x,2021,0.146052102
12,1,2,Herbicide 2x,H1x1x,2022,0.476291498
13,1,3,Manual removal,P,2018,9.266288889
13,1,3,Manual removal,P,2019,27.10398822
13,1,3,Manual removal,P,2020,2.570416333
13,1,3,Manual removal,P,2021,0.057937611
13,1,3,Manual removal,P,2022,2.915711444
14,1,4,Cut and herbicide,CH,2018,10.32895599
14,1,4,Cut and herbicide,CH,2019,10.30685598
14,1,4,Cut and herbicide,CH,2020,0.500065607
14,1,4,Cut and herbicide,CH,2021,0
14,1,4,Cut and herbicide,CH,2022,0.954293803
15,1,5,Herbicide 1x,H1x,2018,2.939836447
15,1,5,Herbicide 1x,H1x,2019,0.986136543
15,1,5,Herbicide 1x,H1x,2020,0.013615317
15,1,5,Herbicide 1x,H1x,2021,0.023823151
15,1,5,Herbicide 1x,H1x,2022,1.977758729
16,1,6,Control Reference,CR,2018,0
16,1,6,Control Reference,CR,2019,0
16,1,6,Control Reference,CR,2020,0
16,1,6,Control Reference,CR,2021,0.043274602
16,1,6,Control Reference,CR,2022,0
17,1,7,Herbicide 3x,H2x1x,2018,5.178699795
17,1,7,Herbicide 3x,H2x1x,2019,1.186971608
17,1,7,Herbicide 3x,H2x1x,2020,0
17,1,7,Herbicide 3x,H2x1x,2021,0.089503079
17,1,7,Herbicide 3x,H2x1x,2022,0.131793698
18,1,8,Invaded control,CNT,2018,0
18,1,8,Invaded control,CNT,2019,0
18,1,8,Invaded control,CNT,2020,0
18,1,8,Invaded control,CNT,2021,0
18,1,8,Invaded control,CNT,2022,0
21,2,1,Control Reference,CR,2018,0
21,2,1,Control Reference,CR,2019,0
21,2,1,Control Reference,CR,2020,0
21,2,1,Control Reference,CR,2021,0
21,2,1,Control Reference,CR,2022,0
22,2,2,Manual removal and herbicide,PH,2018,6.459869065
22,2,2,Manual removal and herbicide,PH,2019,3.470470073
22,2,2,Manual removal and herbicide,PH,2020,0.251327111
22,2,2,Manual removal and herbicide,PH,2021,0.494909149
22,2,2,Manual removal and herbicide,PH,2022,0.503190467
23,2,3,Herbicide 1x,H1x,2018,1.834672457
23,2,3,Herbicide 1x,H1x,2019,0.813622004
23,2,3,Herbicide 1x,H1x,2020,0
23,2,3,Herbicide 1x,H1x,2021,0
23,2,3,Herbicide 1x,H1x,2022,3.901484207
24,2,4,Invaded control,CNT,2018,0
24,2,4,Invaded control,CNT,2019,0
24,2,4,Invaded control,CNT,2020,0
24,2,4,Invaded control,CNT,2021,0
24,2,4,Invaded control,CNT,2022,0
25,2,5,Herbicide 2x,H1x1x,2018,5.438309407
25,2,5,Herbicide 2x,H1x1x,2019,1.318788847
25,2,5,Herbicide 2x,H1x1x,2020,0
25,2,5,Herbicide 2x,H1x1x,2021,0.01356627
25,2,5,Herbicide 2x,H1x1x,2022,3.525155451
26,2,6,Cut and herbicide,CH,2018,6.867350148
26,2,6,Cut and herbicide,CH,2019,2.548780859
26,2,6,Cut and herbicide,CH,2020,0.126195769
26,2,6,Cut and herbicide,CH,2021,0
26,2,6,Cut and herbicide,CH,2022,0.020784729
27,2,7,Herbicide 3x,H2x1x,2018,5.243525881
27,2,7,Herbicide 3x,H2x1x,2019,0.556262046
27,2,7,Herbicide 3x,H2x1x,2020,0
27,2,7,Herbicide 3x,H2x1x,2021,0.077192873
27,2,7,Herbicide 3x,H2x1x,2022,3.404626476
28,2,8,Manual removal,P,2018,6.264533333
28,2,8,Manual removal,P,2019,32.78112833
28,2,8,Manual removal,P,2020,2.019752667
28,2,8,Manual removal,P,2021,0.153070889
28,2,8,Manual removal,P,2022,4.365596667
31,3,1,Control Reference,CR,2018,0
31,3,1,Control Reference,CR,2019,0
31,3,1,Control Reference,CR,2020,0
31,3,1,Control Reference,CR,2021,0
31,3,1,Control Reference,CR,2022,0
32,3,2,Herbicide 2x,H1x1x,2018,3.140666782
32,3,2,Herbicide 2x,H1x1x,2019,0.82978994
32,3,2,Herbicide 2x,H1x1x,2020,0.123296134
32,3,2,Herbicide 2x,H1x1x,2021,0
32,3,2,Herbicide 2x,H1x1x,2022,0
33,3,3,Manual removal and herbicide,PH,2018,5.624861773
33,3,3,Manual removal and herbicide,PH,2019,6.300289769
33,3,3,Manual removal and herbicide,PH,2020,1.560353556
33,3,3,Manual removal and herbicide,PH,2021,0.112291039
33,3,3,Manual removal and herbicide,PH,2022,7.221832333
34,3,4,Herbicide 1x,H1x,2018,1.923862535
34,3,4,Herbicide 1x,H1x,2019,4.065631714
34,3,4,Herbicide 1x,H1x,2020,0.466020005
34,3,4,Herbicide 1x,H1x,2021,0
34,3,4,Herbicide 1x,H1x,2022,0.810948713
35,3,5,Invaded control,CNT,2018,0
35,3,5,Invaded control,CNT,2019,0
35,3,5,Invaded control,CNT,2020,0
35,3,5,Invaded control,CNT,2021,0
35,3,5,Invaded control,CNT,2022,0
36,3,6,Cut and herbicide,CH,2018,5.737506218
36,3,6,Cut and herbicide,CH,2019,14.79936789
36,3,6,Cut and herbicide,CH,2020,1.868636048
36,3,6,Cut and herbicide,CH,2021,0
36,3,6,Cut and herbicide,CH,2022,0.633092616
37,3,7,Manual removal,P,2018,4.465344444
37,3,7,Manual removal,P,2019,19.09470778
37,3,7,Manual removal,P,2020,7.361199556
37,3,7,Manual removal,P,2021,0
37,3,7,Manual removal,P,2022,4.241051778
38,3,8,Herbicide 3x,H2x1x,2018,3.298178258
38,3,8,Herbicide 3x,H2x1x,2019,0.206958699
38,3,8,Herbicide 3x,H2x1x,2020,0
38,3,8,Herbicide 3x,H2x1x,2021,0.006574603
38,3,8,Herbicide 3x,H2x1x,2022,0.068420206
41,4,1,Manual removal and herbicide,PH,2018,13.51467148
41,4,1,Manual removal and herbicide,PH,2019,18.24702338
41,4,1,Manual removal and herbicide,PH,2020,0.370371889
41,4,1,Manual removal and herbicide,PH,2021,0.294378403
41,4,1,Manual removal and herbicide,PH,2022,4.469796022
42,4,2,Manual removal,P,2018,14.82233333
42,4,2,Manual removal,P,2019,56.032615
42,4,2,Manual removal,P,2020,6.995675222
42,4,2,Manual removal,P,2021,0.223360444
42,4,2,Manual removal,P,2022,17.64472933
43,4,3,Control Reference,CR,2018,0
43,4,3,Control Reference,CR,2019,0
43,4,3,Control Reference,CR,2020,0
43,4,3,Control Reference,CR,2021,0.221377774
43,4,3,Control Reference,CR,2022,0
44,4,4,Cut and herbicide,CH,2018,6.181166067
44,4,4,Cut and herbicide,CH,2019,15.34735999
44,4,4,Cut and herbicide,CH,2020,0.73611402
44,4,4,Cut and herbicide,CH,2021,0
44,4,4,Cut and herbicide,CH,2022,1.52415496
45,4,5,Herbicide 3x,H2x1x,2018,5.585680737
45,4,5,Herbicide 3x,H2x1x,2019,1.118912687
45,4,5,Herbicide 3x,H2x1x,2020,0.010305928
45,4,5,Herbicide 3x,H2x1x,2021,0.017157762
45,4,5,Herbicide 3x,H2x1x,2022,3.384624095
46,4,6,Herbicide 1x,H1x,2018,1.942859043
46,4,6,Herbicide 1x,H1x,2019,1.789071521
46,4,6,Herbicide 1x,H1x,2020,0.656742926
46,4,6,Herbicide 1x,H1x,2021,0.011095881
46,4,6,Herbicide 1x,H1x,2022,0.526106061
47,4,7,Invaded control,CNT,2018,0
47,4,7,Invaded control,CNT,2019,0
47,4,7,Invaded control,CNT,2020,0
47,4,7,Invaded control,CNT,2021,0
47,4,7,Invaded control,CNT,2022,0
48,4,8,Herbicide 2x,H1x1x,2018,3.687232812
48,4,8,Herbicide 2x,H1x1x,2019,2.236716452
48,4,8,Herbicide 2x,H1x1x,2020,0.615567941
48,4,8,Herbicide 2x,H1x1x,2021,0.552662432
48,4,8,Herbicide 2x,H1x1x,2022,7.205854468
18a,1,8a,CNT - Herbicide 2x,CNT-H,2018,0
18a,1,8a,CNT - Herbicide 2x,CNT-H,2019,0
18a,1,8a,CNT - Herbicide 2x,CNT-H,2020,0.986402545
18a,1,8a,CNT - Herbicide 2x,CNT-H,2021,2.21373049
18a,1,8a,CNT - Herbicide 2x,CNT-H,2022,2.348044155
18b,1,8b,CNT - Manual removal 2x,CNT-P,2018,0
18b,1,8b,CNT - Manual removal 2x,CNT-P,2019,0
18b,1,8b,CNT - Manual removal 2x,CNT-P,2020,0.656843778
18b,1,8b,CNT - Manual removal 2x,CNT-P,2021,1.447647889
18b,1,8b,CNT - Manual removal 2x,CNT-P,2022,1.596617
24a,2,4a,CNT - Manual removal 2x,CNT-P,2018,0
24a,2,4a,CNT - Manual removal 2x,CNT-P,2019,0
24a,2,4a,CNT - Manual removal 2x,CNT-P,2020,12.40396244
24a,2,4a,CNT - Manual removal 2x,CNT-P,2021,3.670718222
24a,2,4a,CNT - Manual removal 2x,CNT-P,2022,0.892509556
24b,2,4b,CNT - Herbicide 2x,CNT-H,2018,0
24b,2,4b,CNT - Herbicide 2x,CNT-H,2019,0
24b,2,4b,CNT - Herbicide 2x,CNT-H,2020,2.081486106
24b,2,4b,CNT - Herbicide 2x,CNT-H,2021,2.301481641
24b,2,4b,CNT - Herbicide 2x,CNT-H,2022,1.285452189
35a,3,5a,CNT - Herbicide 2x,CNT-H,2018,0
35a,3,5a,CNT - Herbicide 2x,CNT-H,2019,0
35a,3,5a,CNT - Herbicide 2x,CNT-H,2020,2.042793371
35a,3,5a,CNT - Herbicide 2x,CNT-H,2021,2.454698713
35a,3,5a,CNT - Herbicide 2x,CNT-H,2022,0.835782607
35b,3,5b,CNT - Manual removal 2x,CNT-P,2018,0
35b,3,5b,CNT - Manual removal 2x,CNT-P,2019,0
35b,3,5b,CNT - Manual removal 2x,CNT-P,2020,3.805704
35b,3,5b,CNT - Manual removal 2x,CNT-P,2021,1.998964111
35b,3,5b,CNT - Manual removal 2x,CNT-P,2022,0.167706778
47a,4,7a,CNT - Herbicide 2x,CNT-H,2018,0
47a,4,7a,CNT - Herbicide 2x,CNT-H,2019,0
47a,4,7a,CNT - Herbicide 2x,CNT-H,2020,2.430788492
47a,4,7a,CNT - Herbicide 2x,CNT-H,2021,2.052578948
47a,4,7a,CNT - Herbicide 2x,CNT-H,2022,0.720810344
47b,4,7b,CNT - Manual removal 2x,CNT-P,2018,0
47b,4,7b,CNT - Manual removal 2x,CNT-P,2019,0
47b,4,7b,CNT - Manual removal 2x,CNT-P,2020,13.17416444
47b,4,7b,CNT - Manual removal 2x,CNT-P,2021,17.39535989
47b,4,7b,CNT - Manual removal 2x,CNT-P,2022,6.497157389
